2 Corinthians 11:11	Wherefore? because I love you not? God knoweth.
Galatians 3:13	Christ hath redeemed us from the curse of the law, being made a curse for us: for it is written, Cursed is every one that hangeth on a tree:
Galatians 3:14	That the blessing of Abraham might come on the Gentiles through Jesus Christ; that we might receive the promise of the Spirit through faith.
Galatians 3:15	Brethren, I speak after the manner of men; Though it be but a man's covenant, yet if it be confirmed, no man disannulleth, or addeth thereto.
Galatians 3:16	Now to Abraham and his seed were the promises made. He saith not, And to seeds, as of many; but as of one, And to thy seed, which is Christ.
Galatians 3:17	And this I say, that the covenant, that was confirmed before of God in Christ, the law, which was four hundred and thirty years after, cannot disannul, that it should make the promise of none effect.
Galatians 3:18	For if the inheritance be of the law, it is no more of promise: but God gave it to Abraham by promise.
Galatians 3:19	Wherefore then serveth the law? It was added because of transgressions, till the seed should come to whom the promise was made; and it was ordained by angels in the hand of a mediator.
Galatians 3:20	Now a mediator is not a mediator of one, but God is one.
Galatians 3:21	Is the law then against the promises of God? God forbid: for if there had been a law given which could have given life, verily righteousness should have been by the law.
Galatians 3:22	But the scripture hath concluded all under sin, that the promise by faith of Jesus Christ might be given to them that believe.
Galatians 3:23	But before faith came, we were kept under the law, shut up unto the faith which should afterwards be revealed.
Galatians 3:24	Wherefore the law was our schoolmaster to bring us unto Christ, that we might be justified by faith.
Galatians 3:25	But after that faith is come, we are no longer under a schoolmaster.
Galatians 3:26	For ye are all the children of God by faith in Christ Jesus.
Galatians 3:27	For as many of you as have been baptized into Christ have put on Christ.
Galatians 3:28	There is neither Jew nor Greek, there is neither bond nor free, there is neither male nor female: for ye are all one in Christ Jesus.
Galatians 3:29	And if ye be Christ's, then are ye Abraham's seed, and heirs according to the promise.
Galatians 4:1	Now I say, That the heir, as long as he is a child, differeth nothing from a servant, though he be lord of all;
Galatians 4:2	But is under tutors and governors until the time appointed of the father.
Galatians 4:3	Even so we, when we were children, were in bondage under the elements of the world:
Galatians 4:4	But when the fulness of the time was come, God sent forth his Son, made of a woman, made under the law,
Galatians 4:5	To redeem them that were under the law, that we might receive the adoption of sons.
Galatians 4:6	And because ye are sons, God hath sent forth the Spirit of his Son into your hearts, crying, Abba, Father.
Galatians 4:7	Wherefore thou art no more a servant, but a son; and if a son, then an heir of God through Christ.
Galatians 4:8	Howbeit then, when ye knew not God, ye did service unto them which by nature are no gods.
Galatians 4:9	But now, after that ye have known God, or rather are known of God, how turn ye again to the weak and beggarly elements, whereunto ye desire again to be in bondage?
Galatians 4:10	Ye observe days, and months, and times, and years.
Galatians 4:11	I am afraid of you, lest I have bestowed upon you labour in vain.
Galatians 4:12	Brethren, I beseech you, be as I am; for I am as ye are: ye have not injured me at all.
Galatians 4:13	Ye know how through infirmity of the flesh I preached the gospel unto you at the first.
Galatians 4:14	And my temptation which was in my flesh ye despised not, nor rejected; but received me as an angel of God, even as Christ Jesus.
Galatians 4:15	Where is then the blessedness ye spake of? for I bear you record, that, if it had been possible, ye would have plucked out your own eyes, and have given them to me.
Galatians 4:16	Am I therefore become your enemy, because I tell you the truth?
Galatians 4:17	They zealously affect you, but not well; yea, they would exclude you, that ye might affect them.
Galatians 4:18	But it is good to be zealously affected always in a good thing, and not only when I am present with you.
Galatians 4:19	My little children, of whom I travail in birth again until Christ be formed in you,
Galatians 4:20	I desire to be present with you now, and to change my voice; for I stand in doubt of you.
Galatians 4:21	Tell me, ye that desire to be under the law, do ye not hear the law?
Galatians 4:22	For it is written, that Abraham had two sons, the one by a bondmaid, the other by a freewoman.
Galatians 4:23	But he who was of the bondwoman was born after the flesh; but he of the freewoman was by promise.
Galatians 4:24	Which things are an allegory: for these are the two covenants; the one from the mount Sinai, which gendereth to bondage, which is Agar.
Galatians 4:25	For this Agar is mount Sinai in Arabia, and answereth to Jerusalem which now is, and is in bondage with her children.
Galatians 4:26	But Jerusalem which is above is free, which is the mother of us all.
Galatians 4:27	For it is written, Rejoice, thou barren that bearest not; break forth and cry, thou that travailest not: for the desolate hath many more children than she which hath an husband.
Galatians 4:28	Now we, brethren, as Isaac was, are the children of promise.
Galatians 4:29	But as then he that was born after the flesh persecuted him that was born after the Spirit, even so it is now.
Galatians 4:30	Nevertheless what saith the scripture? Cast out the bondwoman and her son: for the son of the bondwoman shall not be heir with the son of the freewoman.
Galatians 4:31	So then, brethren, we are not children of the bondwoman, but of the free.
Galatians 5:1	Stand fast therefore in the liberty wherewith Christ hath made us free, and be not entangled again with the yoke of bondage.
Galatians 5:2	Behold, I Paul say unto you, that if ye be circumcised, Christ shall profit you nothing.
Galatians 5:3	For I testify again to every man that is circumcised, that he is a debtor to do the whole law.
Galatians 5:4	Christ is become of no effect unto you, whosoever of you are justified by the law; ye are fallen from grace.
Galatians 5:5	For we through the Spirit wait for the hope of righteousness by faith.
Galatians 5:6	For in Jesus Christ neither circumcision availeth any thing, nor uncircumcision; but faith which worketh by love.
Galatians 5:7	Ye did run well; who did hinder you that ye should not obey the truth?
Galatians 5:8	This persuasion cometh not of him that calleth you.
Galatians 5:9	A little leaven leaveneth the whole lump.
Galatians 5:10	I have confidence in you through the Lord, that ye will be none otherwise minded: but he that troubleth you shall bear his judgment, whosoever he be.
Galatians 5:11	And I, brethren, if I yet preach circumcision, why do I yet suffer persecution? then is the offence of the cross ceased.
Galatians 5:12	I would they were even cut off which trouble you.
Galatians 5:13	For, brethren, ye have been called unto liberty; only use not liberty for an occasion to the flesh, but by love serve one another.
Galatians 5:14	For all the law is fulfilled in one word, even in this; Thou shalt love thy neighbour as thyself.
Galatians 5:15	But if ye bite and devour one another, take heed that ye be not consumed one of another.
Galatians 5:16	This I say then, Walk in the Spirit, and ye shall not fulfil the lust of the flesh.
Galatians 5:17	For the flesh lusteth against the Spirit, and the Spirit against the flesh: and these are contrary the one to the other: so that ye cannot do the things that ye would.
Galatians 5:18	But if ye be led of the Spirit, ye are not under the law.
Galatians 5:19	Now the works of the flesh are manifest, which are these; Adultery, fornication, uncleanness, lasciviousness,
Galatians 5:20	Idolatry, witchcraft, hatred, variance, emulations, wrath, strife, seditions, heresies,
Galatians 5:21	Envyings, murders, drunkenness, revellings, and such like: of the which I tell you before, as I have also told you in time past, that they which do such things shall not inherit the kingdom of God.
Galatians 5:22	But the fruit of the Spirit is love, joy, peace, longsuffering, gentleness, goodness, faith,
Galatians 5:23	Meekness, temperance: against such there is no law.
Galatians 5:24	And they that are Christ's have crucified the flesh with the affections and lusts.
Galatians 5:25	If we live in the Spirit, let us also walk in the Spirit.
Galatians 5:26	Let us not be desirous of vain glory, provoking one another, envying one another.
Galatians 6:1	Brethren, if a man be overtaken in a fault, ye which are spiritual, restore such an one in the spirit of meekness; considering thyself, lest thou also be tempted.
Galatians 6:2	Bear ye one another's burdens, and so fulfil the law of Christ.
Galatians 6:3	For if a man think himself to be something, when he is nothing, he deceiveth himself.
Galatians 6:4	But let every man prove his own work, and then shall he have rejoicing in himself alone, and not in another.
Galatians 6:5	For every man shall bear his own burden.
Galatians 6:6	Let him that is taught in the word communicate unto him that teacheth in all good things.
Galatians 6:7	Be not deceived; God is not mocked: for whatsoever a man soweth, that shall he also reap.
Galatians 6:8	For he that soweth to his flesh shall of the flesh reap corruption; but he that soweth to the Spirit shall of the Spirit reap life everlasting.
Galatians 6:9	And let us not be weary in well doing: for in due season we shall reap, if we faint not.
Galatians 6:10	As we have therefore opportunity, let us do good unto all men, especially unto them who are of the household of faith.
Galatians 6:11	Ye see how large a letter I have written unto you with mine own hand.
Galatians 6:12	As many as desire to make a fair shew in the flesh, they constrain you to be circumcised; only lest they should suffer persecution for the cross of Christ.
Galatians 6:13	For neither they themselves who are circumcised keep the law; but desire to have you circumcised, that they may glory in your flesh.
Galatians 6:14	But God forbid that I should glory, save in the cross of our Lord Jesus Christ, by whom the world is crucified unto me, and I unto the world.
Galatians 6:15	For in Christ Jesus neither circumcision availeth any thing, nor uncircumcision, but a new creature.
Galatians 6:16	And as many as walk according to this rule, peace be on them, and mercy, and upon the Israel of God.
Galatians 6:17	From henceforth let no man trouble me: for I bear in my body the marks of the Lord Jesus.
Galatians 6:18	Brethren, the grace of our Lord Jesus Christ be with your spirit. Amen.
Ephesians 1:1	Paul, an apostle of Jesus Christ by the will of God, to the saints which are at Ephesus, and to the faithful in Christ Jesus:
Ephesians 1:2	Grace be to you, and peace, from God our Father, and from the Lord Jesus Christ.
Ephesians 1:3	Blessed be the God and Father of our Lord Jesus Christ, who hath blessed us with all spiritual blessings in heavenly places in Christ:
Ephesians 1:4	According as he hath chosen us in him before the foundation of the world, that we should be holy and without blame before him in love:
Ephesians 1:5	Having predestinated us unto the adoption of children by Jesus Christ to himself, according to the good pleasure of his will,
Ephesians 1:6	To the praise of the glory of his grace, wherein he hath made us accepted in the beloved.
Ephesians 1:7	In whom we have redemption through his blood, the forgiveness of sins, according to the riches of his grace;
Ephesians 1:8	Wherein he hath abounded toward us in all wisdom and prudence;
Ephesians 1:9	Having made known unto us the mystery of his will, according to his good pleasure which he hath purposed in himself:
Ephesians 1:10	That in the dispensation of the fulness of times he might gather together in one all things in Christ, both which are in heaven, and which are on earth; even in him:
Ephesians 1:11	In whom also we have obtained an inheritance, being predestinated according to the purpose of him who worketh all things after the counsel of his own will:
Ephesians 1:12	That we should be to the praise of his glory, who first trusted in Christ.
Ephesians 1:13	In whom ye also trusted, after that ye heard the word of truth, the gospel of your salvation: in whom also after that ye believed, ye were sealed with that holy Spirit of promise,
Ephesians 1:14	Which is the earnest of our inheritance until the redemption of the purchased possession, unto the praise of his glory.
Ephesians 1:15	Wherefore I also, after I heard of your faith in the Lord Jesus, and love unto all the saints,
Ephesians 1:16	Cease not to give thanks for you, making mention of you in my prayers;
Ephesians 1:17	That the God of our Lord Jesus Christ, the Father of glory, may give unto you the spirit of wisdom and revelation in the knowledge of him:
Ephesians 1:18	The eyes of your understanding being enlightened; that ye may know what is the hope of his calling, and what the riches of the glory of his inheritance in the saints,
Ephesians 1:19	And what is the exceeding greatness of his power to us-ward who believe, according to the working of his mighty power,
Ephesians 1:20	Which he wrought in Christ, when he raised him from the dead, and set him at his own right hand in the heavenly places,
Ephesians 1:21	Far above all principality, and power, and might, and dominion, and every name that is named, not only in this world, but also in that which is to come:
Ephesians 1:22	And hath put all things under his feet, and gave him to be the head over all things to the church,
Ephesians 1:23	Which is his body, the fulness of him that filleth all in all.
Ephesians 2:1	And you hath he quickened, who were dead in trespasses and sins;
Ephesians 2:2	Wherein in time past ye walked according to the course of this world, according to the prince of the power of the air, the spirit that now worketh in the children of disobedience:
Ephesians 2:3	Among whom also we all had our conversation in times past in the lusts of our flesh, fulfilling the desires of the flesh and of the mind; and were by nature the children of wrath, even as others.
Ephesians 2:4	But God, who is rich in mercy, for his great love wherewith he loved us,
Ephesians 2:5	Even when we were dead in sins, hath quickened us together with Christ, (by grace ye are saved;)
Ephesians 2:6	And hath raised us up together, and made us sit together in heavenly places in Christ Jesus:
Ephesians 2:7	That in the ages to come he might shew the exceeding riches of his grace in his kindness toward us through Christ Jesus.
Ephesians 2:8	For by grace are ye saved through faith; and that not of yourselves: it is the gift of God:
Ephesians 2:9	Not of works, lest any man should boast.
Ephesians 2:10	For we are his workmanship, created in Christ Jesus unto good works, which God hath before ordained that we should walk in them.
Ephesians 2:11	Wherefore remember, that ye being in time past Gentiles in the flesh, who are called Uncircumcision by that which is called the Circumcision in the flesh made by hands;
Ephesians 2:12	That at that time ye were without Christ, being aliens from the commonwealth of Israel, and strangers from the covenants of promise, having no hope, and without God in the world:
Ephesians 2:13	But now in Christ Jesus ye who sometimes were far off are made nigh by the blood of Christ.
Ephesians 2:14	For he is our peace, who hath made both one, and hath broken down the middle wall of partition between us;
Ephesians 2:15	Having abolished in his flesh the enmity, even the law of commandments contained in ordinances; for to make in himself of twain one new man, so making peace;
Ephesians 2:16	And that he might reconcile both unto God in one body by the cross, having slain the enmity thereby:
Ephesians 2:17	And came and preached peace to you which were afar off, and to them that were nigh.
Ephesians 2:18	For through him we both have access by one Spirit unto the Father.
Ephesians 2:19	Now therefore ye are no more strangers and foreigners, but fellowcitizens with the saints, and of the household of God;
Ephesians 2:20	And are built upon the foundation of the apostles and prophets, Jesus Christ himself being the chief corner stone;
Ephesians 2:21	In whom all the building fitly framed together groweth unto an holy temple in the Lord:
Ephesians 2:22	In whom ye also are builded together for an habitation of God through the Spirit.
Ephesians 3:1	For this cause I Paul, the prisoner of Jesus Christ for you Gentiles,
Ephesians 3:2	If ye have heard of the dispensation of the grace of God which is given me to you-ward:
Ephesians 3:3	How that by revelation he made known unto me the mystery; (as I wrote afore in few words,
Ephesians 3:4	Whereby, when ye read, ye may understand my knowledge in the mystery of Christ)
Ephesians 3:5	Which in other ages was not made known unto the sons of men, as it is now revealed unto his holy apostles and prophets by the Spirit;
Ephesians 3:6	That the Gentiles should be fellowheirs, and of the same body, and partakers of his promise in Christ by the gospel:
Ephesians 3:7	Whereof I was made a minister, according to the gift of the grace of God given unto me by the effectual working of his power.
Ephesians 3:8	Unto me, who am less than the least of all saints, is this grace given, that I should preach among the Gentiles the unsearchable riches of Christ;
Ephesians 3:9	And to make all men see what is the fellowship of the mystery, which from the beginning of the world hath been hid in God, who created all things by Jesus Christ:
Ephesians 3:10	To the intent that now unto the principalities and powers in heavenly places might be known by the church the manifold wisdom of God,
Ephesians 3:11	According to the eternal purpose which he purposed in Christ Jesus our Lord:
Ephesians 3:12	In whom we have boldness and access with confidence by the faith of him.
Ephesians 3:13	Wherefore I desire that ye faint not at my tribulations for you, which is your glory.
Ephesians 3:14	For this cause I bow my knees unto the Father of our Lord Jesus Christ,
Ephesians 3:15	Of whom the whole family in heaven and earth is named,
Ephesians 3:16	That he would grant you, according to the riches of his glory, to be strengthened with might by his Spirit in the inner man;
Ephesians 3:17	That Christ may dwell in your hearts by faith; that ye, being rooted and grounded in love,
Ephesians 3:18	May be able to comprehend with all saints what is the breadth, and length, and depth, and height;
Ephesians 3:19	And to know the love of Christ, which passeth knowledge, that ye might be filled with all the fulness of God.
Ephesians 3:20	Now unto him that is able to do exceeding abundantly above all that we ask or think, according to the power that worketh in us,
Ephesians 3:21	Unto him be glory in the church by Christ Jesus throughout all ages, world without end. Amen.
Ephesians 4:1	I therefore, the prisoner of the Lord, beseech you that ye walk worthy of the vocation wherewith ye are called,
Ephesians 4:2	With all lowliness and meekness, with longsuffering, forbearing one another in love;
Ephesians 4:3	Endeavouring to keep the unity of the Spirit in the bond of peace.
Ephesians 4:4	There is one body, and one Spirit, even as ye are called in one hope of your calling;
Ephesians 4:5	One Lord, one faith, one baptism,
Ephesians 4:6	One God and Father of all, who is above all, and through all, and in you all.
Ephesians 4:7	But unto every one of us is given grace according to the measure of the gift of Christ.
Ephesians 4:8	Wherefore he saith, When he ascended up on high, he led captivity captive, and gave gifts unto men.
Ephesians 4:9	(Now that he ascended, what is it but that he also descended first into the lower parts of the earth?
Ephesians 4:10	He that descended is the same also that ascended up far above all heavens, that he might fill all things.)
Ephesians 4:11	And he gave some, apostles; and some, prophets; and some, evangelists; and some, pastors and teachers;
Ephesians 4:12	For the perfecting of the saints, for the work of the ministry, for the edifying of the body of Christ:
Ephesians 4:13	Till we all come in the unity of the faith, and of the knowledge of the Son of God, unto a perfect man, unto the measure of the stature of the fulness of Christ:
Ephesians 4:14	That we henceforth be no more children, tossed to and fro, and carried about with every wind of doctrine, by the sleight of men, and cunning craftiness, whereby they lie in wait to deceive;
Ephesians 4:15	But speaking the truth in love, may grow up into him in all things, which is the head, even Christ:
Ephesians 4:16	From whom the whole body fitly joined together and compacted by that which every joint supplieth, according to the effectual working in the measure of every part, maketh increase of the body unto the edifying of itself in love.
Ephesians 4:17	This I say therefore, and testify in the Lord, that ye henceforth walk not as other Gentiles walk, in the vanity of their mind,
Ephesians 4:18	Having the understanding darkened, being alienated from the life of God through the ignorance that is in them, because of the blindness of their heart:
Ephesians 4:19	Who being past feeling have given themselves over unto lasciviousness, to work all uncleanness with greediness.
Ephesians 4:20	But ye have not so learned Christ;
Ephesians 4:21	If so be that ye have heard him, and have been taught by him, as the truth is in Jesus:
Ephesians 4:22	That ye put off concerning the former conversation the old man, which is corrupt according to the deceitful lusts;
